id,image_id,name,COCO_annIds
1,1,man,1210601
2,1,bag,-1
3,1,chocolate,-1
4,1,candy,-1
5,1,woman,-1
6,1,drink,87229
7,1,woman,1212101
8,3,bag,-1
9,3,book,1137241
10,3,coffee cup,-1
11,3,spoon,707501
12,3,knife,699378
13,3,cake,1084433
14,4,dog,6775
15,4,car,134072
16,4,frisbee,603158
17,5,turtle,-1
18,5,monitor,34315
19,5,water bottle,83580
20,5,computer,-1
21,5,photo frame,-1
22,5,drink,-1
23,6,cell phone,327335
24,6,lip balm,-1
25,6,radio reciever,-1
26,6,microphone,-1
27,6,recorder,-1
28,7,flower,-1
29,7,flower,-1
30,7,flower,-1
31,7,vase,1154063
32,7,vase,1156222
33,7,vase,2197336
34,8,helmet,-1
35,8,girl,445554
36,8,bat,630347
37,9,biker,219005
38,9,truck,397538
39,9,bus,163793
40,9,driver,204560
41,10,yellow banana,1544712
42,10,green banana,-1
43,10,woman,-1
44,10,woman,463958
45,10,bird cage,-1
46,10,woman,470153
47,10,basket,-1
(47 rows),,,
